:Data_list: ./hp_from_aepower_from_ae_20021221_to_20021221.txt
:Created: Fri Apr 10 15:50:50 UTC 2026
# This file is created to replicate NOAA HPI files created before 2013.
# Please use with caution as Sat number, hemisphere, activity level, and normalizing factors are placeholders.
#
# Source: AE or SME index.
# Units: gigawatts

# Format:

# Each line is formatted as in this example:

# 2006-09-05 00:54:25 NOAA-16 (S)  7  29.67   0.82

# A19   Date and UT at the center of the polar pass as YYYY-MM-DD hh:mm:ss
# 1X    (Space)
# A7    NOAA POES Satellite number
# 1X    (Space)
# A3    (S) or (N) - hemisphere
# I3    Hemispheric Power Index (activity level)
# F7.2  Estimated Hemispheric Power in gigawatts
# F7.2  Normalizing factor

2002-12-21 03:12:00 NOAA-17 (N)  6  62.20   0.75
2002-12-21 03:13:00 NOAA-17 (N)  6  61.38   0.75
2002-12-21 03:14:00 NOAA-17 (N)  6  57.61   0.75
2002-12-21 03:15:00 NOAA-17 (N)  6  56.28   0.75
2002-12-21 03:16:00 NOAA-17 (N)  6  55.57   0.75
2002-12-21 03:17:00 NOAA-17 (N)  6  55.87   0.75
2002-12-21 03:18:00 NOAA-17 (N)  6  56.99   0.75
2002-12-21 03:19:00 NOAA-17 (N)  6  54.65   0.75
2002-12-21 03:20:00 NOAA-17 (N)  6  53.12   0.75
2002-12-21 03:21:00 NOAA-17 (N)  6  54.14   0.75
2002-12-21 03:22:00 NOAA-17 (N)  6  56.38   0.75
2002-12-21 03:23:00 NOAA-17 (N)  6  53.73   0.75
2002-12-21 03:24:00 NOAA-17 (N)  6  53.53   0.75
2002-12-21 03:25:00 NOAA-17 (N)  6  54.24   0.75
2002-12-21 03:26:00 NOAA-17 (N)  6  55.97   0.75
2002-12-21 03:27:00 NOAA-17 (N)  6  62.50   0.75
2002-12-21 03:28:00 NOAA-17 (N)  6  66.17   0.75
2002-12-21 03:29:00 NOAA-17 (N)  6  66.89   0.75
2002-12-21 03:30:00 NOAA-17 (N)  6  98.41   0.75
2002-12-21 03:31:00 NOAA-17 (N)  6  80.86   0.75
2002-12-21 03:32:00 NOAA-17 (N)  6  79.94   0.75
2002-12-21 03:33:00 NOAA-17 (N)  6  78.92   0.75
2002-12-21 03:34:00 NOAA-17 (N)  6  77.19   0.75
2002-12-21 03:35:00 NOAA-17 (N)  6  76.07   0.75
2002-12-21 03:36:00 NOAA-17 (N)  6  70.56   0.75
2002-12-21 03:37:00 NOAA-17 (N)  6  70.56   0.75
2002-12-21 03:38:00 NOAA-17 (N)  6  70.56   0.75
2002-12-21 03:39:00 NOAA-17 (N)  6  69.23   0.75
2002-12-21 03:40:00 NOAA-17 (N)  6  69.03   0.75
2002-12-21 03:41:00 NOAA-17 (N)  6  83.21   0.75
2002-12-21 03:42:00 NOAA-17 (N)  6  93.72   0.75
2002-12-21 03:43:00 NOAA-17 (N)  6  92.29   0.75
2002-12-21 03:44:00 NOAA-17 (N)  6  91.67   0.75
2002-12-21 03:45:00 NOAA-17 (N)  6  91.47   0.75
2002-12-21 03:46:00 NOAA-17 (N)  6 108.71   0.75
2002-12-21 03:47:00 NOAA-17 (N)  6 113.81   0.75
2002-12-21 03:48:00 NOAA-17 (N)  6  92.80   0.75
2002-12-21 03:49:00 NOAA-17 (N)  6  70.36   0.75
2002-12-21 03:50:00 NOAA-17 (N)  6  66.69   0.75
2002-12-21 03:51:00 NOAA-17 (N)  6  77.09   0.75
2002-12-21 03:52:00 NOAA-17 (N)  6  99.53   0.75
2002-12-21 03:53:00 NOAA-17 (N)  6  95.24   0.75
2002-12-21 03:54:00 NOAA-17 (N)  6  91.47   0.75
2002-12-21 03:55:00 NOAA-17 (N)  6 130.84   0.75
2002-12-21 03:56:00 NOAA-17 (N)  6 158.59   0.75
2002-12-21 03:57:00 NOAA-17 (N)  6 166.03   0.75
2002-12-21 03:58:00 NOAA-17 (N)  6 160.42   0.75
2002-12-21 03:59:00 NOAA-17 (N)  6 154.81   0.75
2002-12-21 04:00:00 NOAA-17 (N)  6 159.71   0.75
2002-12-21 04:01:00 NOAA-17 (N)  6 141.45   0.75
